"CSK","Chennai Super Kings","MI","Mumbai Indians",04 April 2012,"Chennai","Mumbai won by 8 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548306.html"
"DC","Deccan Chargers","CSK","Chennai Super Kings",07 April 2012,"Visakhapatnam","Super Kings won by 74 runs","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548311.html"
"DD","Delhi Daredevils","CSK","Chennai Super Kings",10 April 2012,"Delhi","Daredevils won by 8 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548316.html"
"CSK","Super Kings","RCB","Royal Challengers",12 April 2012,"Chennai","Super Kings won by 5 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548318.html"
"PW","Pune Warriors","CSK","Chennai Super Kings",14 April 2012,"Pune","Warriors won by 7 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548322.html"
"PW","Pune Warriors","CSK","Chennai Super Kings",19 April 2012,"Chennai","Super Kings won by 13 runs","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548330.html"
"CSK","Chennai Super Kings","RR","Rajasthan Royals",21 April 2012,"Chennai","Super Kings won by 7 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/current/match/548332.html"
"RCB","Royal Challengers","CSK","Super Kings",25 April 2012,"Bangalore","No result","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548340.html"
"CSK","Super Kings","Kings XI","Kings XI Punjab",28 April 2012,"Chennai","Kings XI won by 7 runs","http://www.espncricinfo.com/indian-premier-league-2012/engine/current/match/548343.html"
"CSK","Super Kings","KKR","Knight Riders",30 April 2012,"Chennai","KKR won by 5 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/current/match/548347.html"
"CSK","Super Kings","DC","Deccan Chargers",04 May 2012,"Chennai","Super Kings won by 10 runs","http://www.espncricinfo.com/indian-premier-league-2012/engine/current/match/548352.html"
"MI","Mumbai Indians","CSK","Super Kings",06 May 2012,"Mumbai","Mumbai won by 2 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548355.html"
"RR","Rajasthan Royals","CSK","Super Kings",10 May 2012,"Jaipur","Chennai won by 4 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548361.html"
"CSK","Super Kings","DD","Delhi Daredevils",12 May 2012,"Chennai","Chennai won by 9 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548364.html"
"KKR","Knight Riders","CSK","Super Kings",14 May 2012,"Kolkata","Chennai won by 5 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548368.html"
"Kings XI","Kings XI Punjab","CSK","Super Kings",17 May 2012,"Dharamsala","Kings XI won by 6 wickets","http://www.espncricinfo.com/indian-premier-league-2012/engine/match/548371.html"
"CSK","Super Kings","MI","Mumbai Indians",23 May 2012,"Bangalore","Super Kings won by 38 runs","http://www.espncricinfo.com/indian-premier-league-2012/engine/current/match/548379.html"
"CSK","Super Kings","DD","Delhi Daredevils",25 May 2012,"Chennai","Super Kings won by 86 runs","http://www.espncricinfo.com/indian-premier-league-2012/engine/current/match/548380.html"
